question,subject,split,answer,final_prompt,len_tk_glm4_9b_chat
The City of Windemere decided to construct several large windmills to generate electrical power. The construction was financed through a general residential property tax levy for the next ten years. Utility revenues are intended to offset all expenses associated with the windmills. The land for the windmills was donated to the city by a local farmer. The land from the farmer should be reported in which fund type?,professional_accounting,test-00000-of-00001,C,"The City of Windemere decided to construct several large windmills to generate electrical power. The construction was financed through a general residential property tax levy for the next ten years. Utility revenues are intended to offset all expenses associated with the windmills. The land for the windmills was donated to the city by a local farmer. The land from the farmer should be reported in which fund type?

Choices:
A. Special revenue.
B. Capital projects.
C. Enterprise.
D. Permanent.

Reply with exactly one uppercase letter out of A, B, C, or D.
",120
"Each of the following is a method to evaluate internal controls based on the framework set by the Committee of Sponsoring Organizations (COSO), except",professional_accounting,validation-00000-of-00001,A,"Each of the following is a method to evaluate internal controls based on the framework set by the Committee of Sponsoring Organizations (COSO), except

Choices:
A. Distinguishing economy risk from industry risk and enterprise risk.
B. Evaluating internal control systems that focus first on risk identification of specific losses.
C. Identifying mitigating controls to prevent losses.
D. Testing to determine whether the controls are operating effectively and have prevented losses in the past.

Reply with exactly one uppercase letter out of A, B, C, or D.
",113
Hi! I'm Tom.This is my pencil box. It's orange. My ruler is blue and red .It's in the pencil-box. That is a pencil. It's black. It is not my pencil. It's Lucy's. The white eraser is Bob's. I call Bob at 789-6943. It is his telephone number. The eraser is  _  .,,auxiliary_train-00000-of-00001,C,"Hi! I'm Tom.This is my pencil box. It's orange. My ruler is blue and red .It's in the pencil-box. That is a pencil. It's black. It is not my pencil. It's Lucy's. The white eraser is Bob's. I call Bob at 789-6943. It is his telephone number. The eraser is  _  .

Choices:
A. black
B. blue and red
C. white
D. orange

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I cut my neighbor's prized flowers. Scenario 2 | I high-fived my married coworker after work.",moral_scenarios,test-00000-of-00001,B,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I cut my neighbor's prized flowers. Scenario 2 | I high-fived my married coworker after work.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",113
"If the objectives of psychological research conducted in a laboratory dictate that certain information be withheld from the participant, consent by the participant",professional_psychology,test-00000-of-00001,C,"If the objectives of psychological research conducted in a laboratory dictate that certain information be withheld from the participant, consent by the participant

Choices:
A. maybe waived provided written consent is obtained from a member of the participant's immediate family
B. is not necessary, bur some explanation of the research situation to the participant is essential
C. is necessary, and an explanation of significant aspects that might affect willingness to participate must be provided
D. is considered essential only if there is possible risk of physical or psychological harm

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I deforested in the rainforest. Scenario 2 | I felt like vomiting so I reached for my host's fur coat.",moral_scenarios,test-00000-of-00001,A,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I deforested in the rainforest. Scenario 2 | I felt like vomiting so I reached for my host's fur coat.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",117
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | Last night during dinner at my favorite restaurant, I bent a knee and proposed to my long time girlfriend. Scenario 2 | I moved to the United States to get welfare.",moral_scenarios,test-00000-of-00001,C,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | Last night during dinner at my favorite restaurant, I bent a knee and proposed to my long time girlfriend. Scenario 2 | I moved to the United States to get welfare.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",125
A male fruit fly is homozygous dominant for gray-body color (G) and is crossed with a female fruit fly that is homozygous recessive for ebony-body color (g). What are the probable phenotypes of the offspring?,,auxiliary_train-00000-of-00001,D,"A male fruit fly is homozygous dominant for gray-body color (G) and is crossed with a female fruit fly that is homozygous recessive for ebony-body color (g). What are the probable phenotypes of the offspring?

Choices:
A. 25% gray, 75% ebony
B. 50% gray, 50% ebony
C. 100% ebony
D. 100% gray

Reply with exactly one uppercase letter out of A, B, C, or D.
",109
"A team of engineers constructing signal lights for airplanes that they can use to guide them to runways are attempting to determine the brightness needed for the pilot to be able to detect the tower at 1 mile away. They set the light to a test brightness and establish communication with an inbound pilot. When the pilot is 1 mile away from the tower, he says he cannot see the light. In terms of Signal Detection Theory, what would this be called?",college_medicine,test-00000-of-00001,B,"A team of engineers constructing signal lights for airplanes that they can use to guide them to runways are attempting to determine the brightness needed for the pilot to be able to detect the tower at 1 mile away. They set the light to a test brightness and establish communication with an inbound pilot. When the pilot is 1 mile away from the tower, he says he cannot see the light. In terms of Signal Detection Theory, what would this be called?

Choices:
A. Hit
B. Miss
C. False alarm
D. Correct rejection

Reply with exactly one uppercase letter out of A, B, C, or D.
",130
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I brought the food to the clearly starving dog. Scenario 2 | I surprised my wife with a punch to the gut.",moral_scenarios,test-00000-of-00001,C,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I brought the food to the clearly starving dog. Scenario 2 | I surprised my wife with a punch to the gut.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",115
