question,question_concept,_split,answer,final_prompt,len_tk_mistral_7b_instruct
How do you show that you are agreeing with someone?,agreeing with,train-00000-of-00001,C,"Question:
How do you show that you are agreeing with someone?

Which of the following is the best response to the question?

Choices:
A. handshake
B. kiss
C. nodding
D. lie
E. shaking hand

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Why does someone clean their house from pollen?,cleaning,train-00000-of-00001,D,"Question:
Why does someone clean their house from pollen?

Which of the following is the best response to the question?

Choices:
A. injury
B. healthy living
C. tidy up
D. allergies
E. using water

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Most dentist offices are found in what groups of homes and businesses?,dental office,train-00000-of-00001,C,"Question:
Most dentist offices are found in what groups of homes and businesses?

Which of the following is the best response to the question?

Choices:
A. street
B. suburb
C. city
D. hospital
E. town

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where can you find dancing and a bar?,bar,train-00000-of-00001,B,"Question:
Where can you find dancing and a bar?

Which of the following is the best response to the question?

Choices:
A. party
B. nightclub
C. las vegas
D. restaurant
E. new york city

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where would you find a pot that is being used by someone?,pot,train-00000-of-00001,E,"Question:
Where would you find a pot that is being used by someone?

Which of the following is the best response to the question?

Choices:
A. toilet
B. porch
C. greenhouse
D. cupboard
E. restaurant

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
In smaller whats are there less needs a bus stop?,bus stop,train-00000-of-00001,E,"Question:
In smaller whats are there less needs a bus stop?

Which of the following is the best response to the question?

Choices:
A. urban area
B. busy
C. airport
D. boarding bus
E. towns

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What can you get after drinking too much alcohol?,drinking alcohol,train-00000-of-00001,E,"Question:
What can you get after drinking too much alcohol?

Which of the following is the best response to the question?

Choices:
A. become drunk
B. have fun
C. active
D. frequent urination
E. sickness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What will happen to animals after eating food?,animals,validation-00000-of-00001,C,"Question:
What will happen to animals after eating food?

Which of the following is the best response to the question?

Choices:
A. bite
B. digestion
C. feel pleasure
D. pass water
E. listen to each other

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
To think for a long time you need to be able to?,think,train-00000-of-00001,B,"Question:
To think for a long time you need to be able to?

Which of the following is the best response to the question?

Choices:
A. sit quietly
B. concentrate
C. know first
D. relax
E. drink

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
How may one feel after playing games for a long time?,playing games,train-00000-of-00001,A,"Question:
How may one feel after playing games for a long time?

Which of the following is the best response to the question?

Choices:
A. fatigue
B. happiness
C. bournout
D. learning
E. losing

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where to put the rope before we start the hike?,rope,train-00000-of-00001,D,"Question:
Where to put the rope before we start the hike?

Which of the following is the best response to the question?

Choices:
A. swimming pool
B. lower person
C. boat
D. backpack
E. lay down

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where would a person put an automobile when not using it?,automobile,train-00000-of-00001,A,"Question:
Where would a person put an automobile when not using it?

Which of the following is the best response to the question?

Choices:
A. garage
B. highway
C. fast lane
D. freeway
E. street

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
During offiical judging what must be avoided?,judging,train-00000-of-00001,B,"Question:
During offiical judging what must be avoided?

Which of the following is the best response to the question?

Choices:
A. controversy
B. prejudice
C. verdict
D. statement
E. evaluating

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where can you find millions of apple tree?,apple tree,train-00000-of-00001,A,"Question:
Where can you find millions of apple tree?

Which of the following is the best response to the question?

Choices:
A. spain
B. bible
C. washington state
D. woods
E. orchard

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where might a runway be trying to escape?,runway,train-00000-of-00001,B,"Question:
Where might a runway be trying to escape?

Which of the following is the best response to the question?

Choices:
A. city
B. military base
C. fashion show
D. bowling alley
E. maze

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
WHat leads to an early death?,death,validation-00000-of-00001,B,"Question:
WHat leads to an early death?

Which of the following is the best response to the question?

Choices:
A. poisonous gas
B. homicide
C. cinder
D. nuclear weapons
E. cyanide

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where do you put a bowl after it is used?,bowl,train-00000-of-00001,E,"Question:
Where do you put a bowl after it is used?

Which of the following is the best response to the question?

Choices:
A. cupboard
B. restaurant
C. cabinet
D. trash
E. dishwasher

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What might a person be if they watch a horror movie?,person,train-00000-of-00001,E,"Question:
What might a person be if they watch a horror movie?

Which of the following is the best response to the question?

Choices:
A. uncomfortable
B. misfortune
C. criticism
D. ridiculous
E. fearful

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where would you find a dictionary near young people getting lessons?,dictionary,train-00000-of-00001,E,"Question:
Where would you find a dictionary near young people getting lessons?

Which of the following is the best response to the question?

Choices:
A. shelf
B. friend's house
C. table
D. library
E. classroom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What drinking vessel can overflow if filled with too much water?,overflow,train-00000-of-00001,E,"Question:
What drinking vessel can overflow if filled with too much water?

Which of the following is the best response to the question?

Choices:
A. riverbed
B. sewer
C. drain
D. creek
E. glass

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
When did mammoth's live?,mammoth,validation-00000-of-00001,E,"Question:
When did mammoth's live?

Which of the following is the best response to the question?

Choices:
A. boscage
B. forest
C. prehistory
D. prehistoric times
E. ancient times

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What can one do better after learning about a subject?,learning about subject,train-00000-of-00001,A,"Question:
What can one do better after learning about a subject?

Which of the following is the best response to the question?

Choices:
A. form opinions
B. change
C. headache
D. advance
E. start reproduction

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What is a farmer growing in Illinois or Iowa?,farmer,train-00000-of-00001,E,"Question:
What is a farmer growing in Illinois or Iowa?

Which of the following is the best response to the question?

Choices:
A. grow plants
B. seed plants
C. seed crops
D. grow animals
E. raise corn

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Remembering a terrible event is likely to cause what?,remembering,train-00000-of-00001,E,"Question:
Remembering a terrible event is likely to cause what?

Which of the following is the best response to the question?

Choices:
A. problems
B. inspiration
C. going to a therapist
D. crying
E. trauma

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Why would you not want to be working with wood?,working,train-00000-of-00001,A,"Question:
Why would you not want to be working with wood?

Which of the following is the best response to the question?

Choices:
A. blisters
B. frustration
C. being paid
D. make money
E. money

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where are trees likely to be protected?,trees,train-00000-of-00001,E,"Question:
Where are trees likely to be protected?

Which of the following is the best response to the question?

Choices:
A. orchard
B. at the tree store.
C. countryside
D. forest
E. state park

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What would need oil to be used?,oil,train-00000-of-00001,D,"Question:
What would need oil to be used?

Which of the following is the best response to the question?

Choices:
A. ground
B. human  body
C. repair shop
D. combustion engines
E. service station

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where can a person drink alcohol as they slice a steak?,alcohol,train-00000-of-00001,E,"Question:
Where can a person drink alcohol as they slice a steak?

Which of the following is the best response to the question?

Choices:
A. pub
B. chemistry lab
C. manual
D. supermarket
E. restaurants

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"The doctor recommended washing hands, what was being promoted?",washing hands,train-00000-of-00001,C,"Question:
The doctor recommended washing hands, what was being promoted?

Which of the following is the best response to the question?

Choices:
A. cold hands
B. wet floor
C. health
D. become wet
E. dry skin

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
