question,question_concept,_split,answer,final_prompt,len_tk_phi3_mini_4k_instruct
"Trains tend to come on time, airplanes on the other hand tend to what?",airplanes,train-00000-of-00001,C,"Question:
Trains tend to come on time, airplanes on the other hand tend to what?

Which of the following is the best response to the question?

Choices:
A. stall
B. take off
C. arrive late
D. catch on fire
E. carry freight

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
"The idiots in the front row would not stop banging on the glass, there's always at least one of them at a what?",idiots,train-00000-of-00001,E,"Question:
The idiots in the front row would not stop banging on the glass, there's always at least one of them at a what?

Which of the following is the best response to the question?

Choices:
A. bar
B. sporting event
C. internet cafe
D. garage sale
E. hockey game

Reply with exactly one uppercase letter out of A, B, C, D or E.
",103
"Emilio needed the exercise, but he didn't do it.  He suffered from what?",exercise,train-00000-of-00001,E,"Question:
Emilio needed the exercise, but he didn't do it.  He suffered from what?

Which of the following is the best response to the question?

Choices:
A. suffered from bad breath
B. work out
C. lazy
D. couch potato
E. sloth

Reply with exactly one uppercase letter out of A, B, C, D or E.
",94
"He had to try to make the call in the middle of the night, it was hard to communicate using only a what?",call,train-00000-of-00001,E,"Question:
He had to try to make the call in the middle of the night, it was hard to communicate using only a what?

Which of the following is the best response to the question?

Choices:
A. communicating
B. response
C. yelling
D. hanging up
E. whisper

Reply with exactly one uppercase letter out of A, B, C, D or E.
",95
James was not good at socializing but he didn't care.  He just wanted to do what?,socialising,train-00000-of-00001,C,"Question:
James was not good at socializing but he didn't care.  He just wanted to do what?

Which of the following is the best response to the question?

Choices:
A. instagating
B. trouble
C. have fun
D. making friends
E. anxiety

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
"Plenty of love, candy and a small dog always awaited them, so the children always loved visiting where?",small dog,train-00000-of-00001,C,"Question:
Plenty of love, candy and a small dog always awaited them, so the children always loved visiting where?

Which of the following is the best response to the question?

Choices:
A. own home
B. basket
C. grandmother's house
D. apartment complex
E. trailer park

Reply with exactly one uppercase letter out of A, B, C, D or E.
",101
"The potato was sliced and  fried by the cook, what was he looking to make?",potato,train-00000-of-00001,C,"Question:
The potato was sliced and  fried by the cook, what was he looking to make?

Which of the following is the best response to the question?

Choices:
A. potatoes
B. root cellar
C. french fries
D. prince edward island
E. main course

Reply with exactly one uppercase letter out of A, B, C, D or E.
",98
What state has a county called columbia and is the furthest in the direction that the sun sets?,columbia,train-00000-of-00001,C,"Question:
What state has a county called columbia and is the furthest in the direction that the sun sets?

Which of the following is the best response to the question?

Choices:
A. tennessee
B. missouri
C. washington
D. canada
E. south carolina

Reply with exactly one uppercase letter out of A, B, C, D or E.
",97
"The bald eagle can be a symbol, it elicits feeling of patriotism where?",bald eagle,train-00000-of-00001,D,"Question:
The bald eagle can be a symbol, it elicits feeling of patriotism where?

Which of the following is the best response to the question?

Choices:
A. forrest
B. grand canyon
C. canada
D. u.s
E. india

Reply with exactly one uppercase letter out of A, B, C, D or E.
",94
"After becoming inebriated, she laid down on a bench, what happened afterwards?",becoming inebriated,train-00000-of-00001,E,"Question:
After becoming inebriated, she laid down on a bench, what happened afterwards?

Which of the following is the best response to the question?

Choices:
A. death and destruction
B. fall down
C. drunkenness
D. sleeping
E. pass out

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
"If a person is using a computer to talk to their granddaughter, what might the computer cause for them?",using computer,validation-00000-of-00001,C,"Question:
If a person is using a computer to talk to their granddaughter, what might the computer cause for them?

Which of the following is the best response to the question?

Choices:
A. program created
B. stress
C. happiness
D. ocean
E. headache

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
"Visiting museum was an emotional experience for the old veteran, he hid it best he could but he began to what?",visiting museum,train-00000-of-00001,A,"Question:
Visiting museum was an emotional experience for the old veteran, he hid it best he could but he began to what?

Which of the following is the best response to the question?

Choices:
A. cry
B. whisper
C. appriciation
D. take pictures
E. feeling proud

Reply with exactly one uppercase letter out of A, B, C, D or E.
",97
