question,question_concept,_split,answer,final_prompt,len_tk_phi3_mini_4k_instruct
What happens after having food too much?,having food,train-00000-of-00001,D,"Question:
What happens after having food too much?

Which of the following is the best response to the question?

Choices:
A. being full
B. laziness
C. weight gain
D. getting fat
E. will not starve

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Why might a person take a vacation?,person,train-00000-of-00001,A,"Question:
Why might a person take a vacation?

Which of the following is the best response to the question?

Choices:
A. relaxation
B. good things in life
C. admiration
D. own house
E. needs money

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What do animals do when an enemy is approaching?,animals,validation-00000-of-00001,D,"Question:
What do animals do when an enemy is approaching?

Which of the following is the best response to the question?

Choices:
A. feel pleasure
B. procreate
C. pass water
D. listen to each other
E. sing

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where are cars likely to move quickly?,cars,train-00000-of-00001,E,"Question:
Where are cars likely to move quickly?

Which of the following is the best response to the question?

Choices:
A. car dealership
B. car show
C. superb
D. parking lot
E. freeway

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What does a child learn to do before school?,child,validation-00000-of-00001,C,"Question:
What does a child learn to do before school?

Which of the following is the best response to the question?

Choices:
A. count to ten
B. state name
C. dress herself
D. clean room
E. socialize

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Which group is the cover for tonight's musical program?,program,train-00000-of-00001,B,"Question:
Which group is the cover for tonight's musical program?

Which of the following is the best response to the question?

Choices:
A. opera
B. concert
C. television
D. symphonic
E. computer

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What will happen to you after cleaning house?,cleaning house,train-00000-of-00001,B,"Question:
What will happen to you after cleaning house?

Which of the following is the best response to the question?

Choices:
A. order
B. tiredness
C. neatness
D. pass out
E. invigorating

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What are birds likely to do in the winter?,bird,train-00000-of-00001,E,"Question:
What are birds likely to do in the winter?

Which of the following is the best response to the question?

Choices:
A. learn to fly
B. spread wings
C. fly north
D. fly high
E. head south

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Beautiful lightning strikes happen on what kind of day?,beautiful,train-00000-of-00001,B,"Question:
Beautiful lightning strikes happen on what kind of day?

Which of the following is the best response to the question?

Choices:
A. november
B. rainy
C. dull
D. wet
E. average

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
He worked hard to have great success at his chosen what?,success,train-00000-of-00001,B,"Question:
He worked hard to have great success at his chosen what?

Which of the following is the best response to the question?

Choices:
A. new job
B. vocation
C. awards ceremony
D. schedule
E. michigan

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What might a person do on their birthday or Christmas,person,train-00000-of-00001,B,"Question:
What might a person do on their birthday or Christmas

Which of the following is the best response to the question?

Choices:
A. understand themselves
B. receive gifts
C. compliments
D. drink
E. acknowledgment

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What type of person wants to get in shape?,get in shape,train-00000-of-00001,B,"Question:
What type of person wants to get in shape?

Which of the following is the best response to the question?

Choices:
A. look attractive
B. overweight
C. sex
D. bowel movements
E. feel good

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
